Ward_name,Old_code,New_code,Population__2015,In_employment_(1664)__2011,Number_of_jobs_in_area__2013,Median_House_Price_(£)__2014,Median_Household_income_(£)_estimate_(2012/13),Average_Public_Transport_Accessibility_score__2014
Hackney__Stoke_Newington_Central,00AMGS,E05000247,13050.00,7032.00,3200.00,483125.00,42400.00,5.30
Hackney__Victoria,00AMGT,E05000248,13750.00,6251.00,2400.00,471250.00,37350.00,4.70
Hackney__Wick,00AMGU,E05000249,12350.00,4949.00,n/a,340000.00,32890.00,3.90
Hammersmith_and_Fulham__Addison,00ANGA,E05000250,11650.00,6873.00,5200.00,572500.00,43970.00,6.50
Hammersmith_and_Fulham__Askew,00ANGB,E05000251,14300.00,7621.00,2000.00,500000.00,38450.00,3.60
Hammersmith_and_Fulham__Avonmore_and_Brook_Green,00ANGC,E05000252,12700.00,6573.00,11300.00,618250.00,43350.00,6.00
Hammersmith_and_Fulham__College_Park_and_Old_Oak,00ANGD,E05000253,10700.00,4075.00,15400.00,458000.00,30890.00,4.90
Hammersmith_and_Fulham__Fulham_Broadway,00ANGE,E05000254,11550.00,6064.00,4300.00,805000.00,42130.00,5.40
Hammersmith_and_Fulham__Fulham_Reach,00ANGF,E05000255,11800.00,6331.00,7200.00,786250.00,42010.00,4.20
Hammersmith_and_Fulham__Hammersmith_Broadway,00ANGG,E05000256,12250.00,6161.00,31300.00,741250.00,39500.00,6.00
Hammersmith_and_Fulham__Munster,00ANGH,E05000257,11150.00,6462.00,2200.00,745000.00,50240.00,3.70
Hammersmith_and_Fulham__North_End,00ANGJ,E05000258,12650.00,6805.00,4900.00,558000.00,39510.00,5.20
Hammersmith_and_Fulham__Palace_Riverside,00ANGK,E05000259,7600.00,3720.00,3500.00,950000.00,53330.00,3.70
Hammersmith_and_Fulham__Parsons_Green_and_Walham,00ANGL,E05000260,10850.00,5716.00,7400.00,1330000.00,55720.00,4.70
Hammersmith_and_Fulham__Ravenscourt_Park,00ANGM,E05000261,11000.00,5531.00,4800.00,704000.00,45510.00,4.00
Hammersmith_and_Fulham__Sands_End,00ANGN,E05000262,13550.00,6518.00,7000.00,827750.00,44170.00,3.40
Hammersmith_and_Fulham__Shepherd's_Bush_Green,00ANGP,E05000263,12950.00,6797.00,16100.00,440000.00,36430.00,5.60
Hammersmith_and_Fulham__Town,00ANGQ,E05000264,11350.00,6512.00,7000.00,690000.00,47940.00,4.60
Hammersmith_and_Fulham__Wormholt_and_White_City,00ANGR,E05000265,13750.00,5694.00,1000.00,427500.00,31860.00,3.20
Haringey__Alexandra,00APGA,E05000266,12050.00,6189.00,1800.00,625000.00,51450.00,3.30
